mode,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
National Rail,6.6,6.6,6.8,6.6,8.2,7.7,8.2,9.1,8.8,9.2,8.9,8.4,9.2
Underground/ DLR,11.2,11.6,12.4,11.9,11.5,12.6,12.5,13.6,12.8,14.0,13.8,12.7,13.2
Bus/tram,18.1,16.6,17.0,18.3,17.8,18.5,17.1,17.2,17.7,16.4,15.9,12.7,12.9
Taxi/ Other,0.9,1.4,1.6,1.1,1.3,1.1,1.2,1.5,1.2,1.3,1.6,1.2,1.6
Car driver,10.4,11.7,10.7,11.6,11.0,10.3,9.5,8.8,9.1,8.4,8.7,7.5,7.4
Car passenger,5.5,5.9,6.1,5.4,4.9,5.3,5.5,5.1,5.1,4.4,5.2,3.7,4.6
Motorcycle,0.5,0.4,0.3,0.5,0.3,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.2
Cycle,1.3,1.6,1.4,1.5,1.3,1.6,2.4,2.1,2.3,2.4,2.1,1.9,2.1
Walk,12.6,12.7,12.3,11.5,11.9,11.6,12.1,12.3,12.0,11.9,10.6,15.1,11.6
